modelica.stopTime,modelica.jturbine,modelica.ratio,modelica.rho,tl_peakPowerOutput.output,tl_integratedEnergy.output
'2678400',80324543.0564,107.457254386,1.12018059627,989128621.27943838,1770814527196.6235
'2678400',70790257.5867,116.419139913,1.21981587846,1205035320.7537045,1859054574679.5127
'2678400',122565807.71,119.708679431,1.2499946387,942742183.78270733,1885108185226.9226
'2678400',145650393.7,114.088382783,1.2452946284,840565379.66115212,1880674884548.4714
'2678400',37497272.4042,100.795071981,1.38093058667,1869762453.4682417,2001956759927.4734
'2678400',50596088.2223,80.7718962439,1.25952601285,1210111093.7384949,1894387562964.6743
'2678400',18401503.0333,108.604986078,1.07368853897,2028193154.5060382,1726241220250.9453
'2678400',128590603.839,114.355569758,1.48918815447,1055671828.0085397,2096520069148.1233
'2678400',73874465.8653,104.521198205,1.47500256411,1325819510.9014153,2084651401673.311
'2678400',15783803.7528,87.9008695457,1.29941213192,2301683533.8321157,1930160704308.8289
'2678400',123196058.916,94.7699418891,1.3612207014,893808920.11103678,1983386818841.9478
'2678400',37219828.5038,83.1249715079,1.17122865049,1396736814.7183955,1816496113649.0466
'2678400',13993496.0234,105.090523389,1.09288117568,2351119858.9462566,1747538811411.0139
'2678400',19968739.4414,99.3012771176,1.28695723427,2322892495.9587522,1919091439662.2651
'2678400',104918515.555,97.5113662971,1.21835095908,887370640.02301252,1857294234984.0574
'2678400',127185116.237,96.6972810637,1.41247541536,924676063.7172128,2028660962437.8196
'2678400',35999207.6602,113.808867627,1.24657099772,1727592071.7239068,1883166246700.8831
'2678400',84915968.7828,81.3866136643,1.02173574147,750222058.89944041,1666445890380.3313
'2678400',127118764.144,86.7929318645,1.02752332184,645035231.23335612,1672505501857.4089
'2678400',26411437.8507,94.6191277691,1.47207341611,2429197562.3729081,2082708034910.6267
'2678400',36915278.7349,82.4614620709,1.17193673393,1386356960.3522274,1817125722163.1838
'2678400',94831730.4102,118.649669895,1.25731994079,1073757359.954139,1891914188906.4907
'2678400',159352049.226,95.9102659089,1.10492153123,654607272.87366962,1756357139600.3916
'2678400',90552212.5896,113.827980391,1.22808096997,1051462877.9723055,1866106198297.6362
'2678400',91389710.4525,87.4308145489,1.38975147457,1015542995.4789132,2008996252789.4243
'2678400',63527085.4794,91.0173541898,1.06073605539,962012838.25517654,1710945951044.5884
'2678400',100391029.188,90.8100922687,1.21709124346,871225269.7065711,1856221858694.1521
'2678400',40968430.0817,88.9666303653,1.1096880944,1276137498.186173,1762029554573.1741
'2678400',128638758.376,102.790144325,1.17687957145,799840988.55777311,1820357165411.6277
'2678400',56630137.0215,96.0695564137,1.26699426928,1271199516.4486461,1900933071710.2068
'2678400',56142842.5856,84.7043790955,1.11648079252,1040833060.5058547,1767824202593.594
'2678400',67811247.1724,98.9233227308,1.28199259758,1179677622.0162292,1914048498982.9346
'2678400',65838783.5081,114.684937789,1.49840309523,1524197017.7726345,2104952416363.5034
'2678400',51696220.0481,101.188860241,1.01057239755,1121816570.1805298,1654251095423.479
'2678400',149135828.643,107.806711137,1.12688487137,734293168.96274614,1775929200059.8914
'2678400',168664332.18,111.813405552,1.26017190116,784000907.02427888,1893554907509.6758
'2678400',130877740.068,114.997930935,1.14621870356,821906601.22912407,1793247196453.6489
'2678400',161445623.59,104.10646016,1.2021753493,737911655.54861593,1842341175879.7256
'2678400',106311161.1,80.1500625225,1.34080056208,869956672.98867321,1965495929499.7314
'2678400',85996201.1611,114.227844698,1.09711443834,975110836.34537899,1750355861193.1921
'2678400',167409098.104,95.4497266135,1.49533586637,853436926.40711176,2101410586159.4924
'2678400',73153439.9094,104.765621767,1.04139947992,955999279.16084051,1688923032685.6323
'2678400',40671236.7315,84.4120702167,1.02820810921,1172822896.9138958,1674371071026.2952
'2678400',122710392.68,81.9664743513,1.25005149798,769265520.49016583,1885059474373.4961
'2678400',75710695.6428,111.880491839,1.47519336337,1354957243.4764676,2084809022267.9683
'2678400',41633682.9566,94.297602216,1.11816829074,1306817695.7034588,1769525331796.7847
'2678400',56187061.6161,83.9886978651,1.1235660347,1044573716.6387026,1774087789153.6091
'2678400',105371142.944,85.2922826014,1.42270127062,955273973.68814373,2037939036435.4761
'2678400',137371092.419,101.579362527,1.21014608504,787495362.43731797,1849664070543.2576
'2678400',57751623.8984,101.82812677,1.20551200951,1243527143.4103577,1846557295885.4653
'2678400',122519536.586,80.3584410258,1.28483918409,780499765.63667488,1915811804516.0325
'2678400',90941826.9594,119.869564531,1.43977322112,1254471955.6800907,2053301184617.0188
'2678400',66589466.1972,90.7158484964,1.13478738443,1006589024.6223254,1783880958766.2971
'2678400',53673106.2734,87.5019727502,1.02174904521,1006554461.8328092,1666878350889.9226
'2678400',128963597.351,117.716222285,1.45893461447,1053797113.2714213,2069773404058.6555
'2678400',12828400.5111,118.106898073,1.43719159372,3799891328.7229433,2052063786902.3589
'2678400',19926465.4062,98.0059587634,1.29129225985,2164414144.5784259,1922925226965.6653
'2678400',47183279.1772,109.421871865,1.3629519862,1674484530.2242038,1985934420952.6082
'2678400',150935630.798,108.031414252,1.42270517355,905881286.59713781,2037452209414.5715
'2678400',140281724.163,119.521338689,1.00834658196,717585599.52887142,1650691264594.3042
'2678400',102850031.284,118.586005118,1.04033344889,863810651.51559031,1687366993446.8838
'2678400',85350492.7469,88.2027287302,1.26515641987,964527296.53749406,1898908513051.446
'2678400',121775804.125,100.897080992,1.29452725307,890108325.59033668,1924453543307.2742
'2678400',105890539.0,90.2440812894,1.29381948949,897294340.33365107,1923993032086.5708
'2678400',33719320.5117,104.084680257,1.35026199423,1805693804.9834986,1974889268560.4443
'2678400',103557391.429,85.7352584297,1.08487905986,746382424.29340816,1737793636683.3467
'2678400',13447301.3753,86.6437631391,1.20737282082,2121104452.127295,1848796088813.1553
'2678400',102937872.718,106.663328305,1.48102152278,1132814934.9919508,2089594701901.4185
'2678400',168018263.832,93.2783904904,1.06221359502,606558558.25361192,1711359322234.9775
'2678400',93709532.3551,85.859020808,1.31533552429,940417006.3816334,1943162757645.5684
'2678400',77830993.897,103.059696719,1.28242225751,1120754913.144851,1914303458450.6982
'2678400',151400924.168,108.84854632,1.25717919552,808770623.51694274,1891102460460.4207
'2678400',89233344.5031,90.4834871072,1.03141943766,784659139.08542836,1677385766285.7056
'2678400',27941324.2786,117.204810328,1.1074558635,1747705857.373255,1760245451506.5298
'2678400',153685708.415,110.530341361,1.11694151567,725699967.8440249,1767092339878.8853
'2678400',167942304.017,113.420681871,1.07034190387,678608309.19327283,1720636520703.1367
'2678400',60962530.0332,112.553792791,1.05143135264,1126297660.4834509,1700459948347.6531
'2678400',15817853.4808,111.795389083,1.40853408548,2979604935.6049085,2026675152760.0308
'2678400',78207351.6756,80.6345335983,1.2782584352,969699759.2643615,1910569698210.4705
'2678400',124770427.51,82.428534472,1.40258345783,854623433.15383458,2019666274583.4341
'2678400',87617237.947,86.3884819891,1.15014643785,860083895.86441958,1797181566990.781
'2678400',59197120.7576,90.802880282,1.0087323911,956312907.78284705,1652054037685.3342
'2678400',115687383.307,104.281348794,1.26900667417,911717484.1901933,1901969398027.0247
'2678400',117145479.992,86.4938160094,1.42332754924,913919535.32455707,2038345644825.48
'2678400',75187202.3104,116.327604398,1.04318621984,1013279275.3047218,1690938028247.187
'2678400',106059077.709,85.0318853207,1.24461865476,836834742.28517377,1880474642395.5518
'2678400',131426196.167,80.6912105353,1.13784616345,673690085.9092561,1785744984707.9116
